period,id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h
past,715,엘레컴코리아,126,,18,0,0,-0.13,90|90|120|70|80|100|240|150|150|130|120|130,6,1344,0,40,,N,false
past,716,엘레컴,473,0.68,16,0,0,-0.08,590|600|550|600|580|560|590|510|490|450|520|450,10,321,1,0,,N,true
past,717,elecom bt,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1088,0,0,,N,false
past,718,엘레컴 버티컬 마우스,10,,,0,0,12,0|0|16|18|0|0|0|0|0|0|19|12,8,1089,0,0,,N,false
past,719,네스트아웃,110,0.74,41,0,0,-0.35,310|250|210|190|200|150|180|180|140|90|150|90,4,9280,1,0,,N,false
past,720,엘레컴 핸디 트랙볼 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,,N,false
past,721,st elecom,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,6,64,0,0,,N,false
past,722,elecom ex-g,29,0.04,96,0,0,-0.02,45|49|50|53|20|46|50|30|48|20|20|47,8,1089,0,0,,N,false
past,723,엘레 컴 파우치,19,,,0,0,-1,10|10|10|0|10|22|10|10|25|30|29|0,8,64,0,0,,N,false
past,724,elecom ehp,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,,N,false
past,725,elecom usb,10,,43,0,0,0,10|10|0|10|10|0|10|10|10|10|10|10,8,1088,0,0,,N,false
past,726,g102ic 마우스,13,0.01,100,0,0,-0.61,24|26|21|10|10|10|10|40|26|10|20|10,8,3137,0,0,837,O,false
past,727,마우스 보고율,386,,0,0,0,-0.14,510|430|490|440|360|430|370|380|340|490|380|290,1,65,1,24,,O,false
past,728,무선 광마우스,56,0.07,94,0,0,-0.37,60|60|60|70|70|50|40|90|80|60|60|50,8,9281,0,0,815|818|730|820|757|768|788|738,O,false
past,729,쿠팡 로지텍 m331,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,837,O,false
past,730,actto 무선 마우스,40,0.05,94,0,0,0.33,30|70|60|60|40|40|60|50|30|40|40|40,4,65,0,0,,O,false
past,731,마우스 특징,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,751|826,O,false
past,732,파일보드,86,,1,0,0,-0.36,100|110|130|100|90|100|100|80|110|80|110|70,8,1089,0,32,837,O,false
past,733,무선 마우스 쿠팡,4,,,0,0,-1,0|0|0|0|16|0|0|18|14|14|0|0,8,2112,0,0,837,O,false
past,734,마우스 싸게 사는법,30,0.18,98,70.9k,699.6k,-0.33,40|30|50|84|51|65|40|30|30|40|30|20,8,8257,0,0,,O,false
past,735,레이저 로지텍 마우스 비교,23,0.23,43,0,0,-0.5,10|30|30|30|20|10|20|10|40|30|20|20,4,8193,0,0,,O,false
past,736,마우스 비교,626,0.43,14,169.8k,2.1M,0.51,330|390|450|530|470|530|540|450|520|540|550|790,1,8256,1,8,,O,false
past,737,한교동 마우스,86,,,0,0,-0.41,50|50|80|60|40|50|50|70|120|100|90|70,8,1088,2,8,837,O,false
past,738,엑토 하데스 마우스,48,0.08,88,0,0,-0.54,30|20|30|40|20|20|20|30|66|53|61|30,8,9280,0,0,,O,false
past,739,마우스워싱,3320,,0,0,0,-0.2,4.3k|3.5k|3.4k|3.4k|3.5k|5.1k|3.4k|2.8k|4.2k|3.3k|3.4k|3.3k,1,8512,2,6,,O,false
past,740,해리포터 마우스패드,39,,,0,0,-0.5,29|28|29|39|40|60|40|70|40|60|37|20,4,1088,0,0,837,O,false
past,741,온열 마우스 패드 전자파,6,,,0,0,-1,0|0|0|0|0|90|50|40|60|20|0|0,8,65,0,0,837,O,false
past,742,맥스틸 버티컬,30,,,0,0,-0.5,20|30|20|47|17|20|0|39|40|40|30|20,8,1088,0,0,837,O,false
past,743,쿠팡 로켓직구 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,837,O,false
past,744,마우스 센서 차이,46,,6,0,0,-0.31,40|30|40|30|40|30|30|48|58|49|50|40,4,2113,0,0,735|812|736|755|764|808,O,false
past,745,로지텍 마우스 종류,233,0.21,60,0,0,-0.12,260|260|230|230|220|280|230|200|240|210|280|210,5,8256,1,16,,O,false
past,746,맥스틸 버티컬 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3137,0,0,837,O,false
past,747,로지텍 마우스 led 끄기,70,,0,0,0,-0.44,103|116|135|105|131|117|70|70|90|90|70|50,1,65,0,0,,O,false
past,748,마우스 센서 기준,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,744,O,false
past,749,마우스 hz,122,,4,0,0,-0.38,180|130|150|140|140|120|120|90|140|170|110|86,1,3137,0,0,,O,false
past,750,로지텍 마우스 g102ic,25,,,0,0,0.87,20|15|20|19|16|29|20|19|16|15|30|30,8,1025,0,0,837,O,false
past,751,balb c 마우스 특징,26,,1,0,0,0,10|30|40|20|30|10|20|30|20|20|40|20,1,65,0,0,,O,false
past,752,로지텍 마우스 추천 디시,300,0.39,84,0,0,-0.18,320|320|390|320|260|320|260|260|320|320|320|260,1,65,0,0,,O,false
past,753,페이커 마우스,4320,0.15,59,65.8k,348.3k,-0.47,4.7k|4.0k|7.3k|5.8k|3.9k|5.3k|8.9k|6.1k|6.1k|5.8k|3.9k|3.2k,8,10305,1,0,,O,false
past,754,무선 마우스 센서,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,744,O,false
past,755,마우스 센서 체감,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,744,O,false
past,756,마우스 센서 등급,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,65,0,0,744,O,false
past,757,엑토 마우스 드라이버,16,,0,0,0,-0.33,30|41|20|53|10|30|10|43|30|10|20|20,1,11329,0,0,,O,false
past,758,실험용 mouse종류,16,,2,0,0,-0.5,10|10|20|10|10|10|30|10|20|20|20|10,1,65,0,0,760,O,false
past,759,쿠팡 병행수입,39,,1,0,0,0.45,110|60|50|50|70|78|70|49|33|34|35|48,9,10305,0,0,837,O,false
past,760,마우스 모델 종류,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,5,10305,0,0,808|794|836|810|769|819,O,false
past,761,마우스 종양 모델,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2144,0,0,760,O,false
past,762,마우스 개발자,13,,1,0,0,1,23|10|10|20|10|10|20|10|10|10|10|20,1,8257,0,0,,O,false
past,763,마우스 4번 버튼,70,,0,0,0,-0.28,50|50|30|50|40|50|50|40|70|70|90|50,4,64,0,0,,O,false
past,764,마우스 센서순위디시,0,0,0,0,0,0,,0,0,0,0,,O,false
past,765,짱구 무선 마우스,323,0.08,68,0,0,-0.18,360|330|390|480|350|290|280|350|370|360|310|300,8,11329,0,0,837,O,false
past,766,쿠팡 라네즈,3,,,0,0,0,0|0|10|10|10|11|0|0|0|0|11|0,8,64,0,0,837,O,false
past,767,마우스 차이,20,,2,0,0,-0.33,30|20|20|30|20|20|20|10|30|20|20|20,1,8257,0,0,744,O,false
past,768,엑토 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,65,0,0,,O,false
past,769,잠자리 마우스 정리 디시,70,0.0,24,0,0,0.28,0|0|0|0|20|10|20|30|70|70|50|90,1,1024,0,0,,O,false
past,770,레이저 마우스 차이,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10304,0,0,,O,false
past,771,남성 상하세트,53,,,0,0,-0.28,90|120|130|55|43|80|80|60|70|32|79|50,8,1088,0,32,837,O,false
past,772,마우스 원리,63,,0,0,0,0.4,90|70|70|50|50|70|82|68|50|30|89|70,1,65,0,0,,O,false
past,773,마우스 변천사,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,763|811|762,O,false
past,774,호이지보드,28,,0,0,0,-0.4,60|45|37|34|28|24|40|40|50|45|10|30,8,1088,0,0,837,O,false
past,775,로지텍 무선 마우스 추천,920,0.28,100,104.0k,667.8k,-0.1,950|760|1.1k|980|850|910|830|1.0k|870|970|1.0k|780,4,10305,1,0,,O,false
past,776,무소음 마우스,10580,0.15,100,67.2k,250.7k,-0.15,7.6k|7.4k|8.1k|7.9k|8.7k|7.5k|8.2k|8.9k|10.5k|10.2k|12.6k|8.9k,8,9281,0,0,,O,false
past,777,맥스틸 버티컬 마우스,300,0.01,84,82.0k,426.1k,0.3,90|150|270|560|310|330|370|220|230|210|390|300,8,1088,0,8,837,O,false
past,778,마우스 유래,0,,,0,0,0,0|0|0|11|13|14|0|14|0|0|0|0,1,2113,0,0,,O,false
past,779,충전식 마우스 추천,6,,,0,0,-1,0|0|0|0|15|14|0|0|18|0|18|0,9,10305,0,0,,O,false
past,780,마우스 로우 틸트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,O,false
past,781,컴퓨터 마우스 영어로,103,,0,0,0,0.42,110|90|90|90|109|80|100|90|70|90|120|100,1,2113,0,0,,O,false
past,782,지슈라 마우스,4263,0.16,72,57.8k,351.6k,-0.11,3.4k|3.2k|3.8k|3.8k|3.2k|3.7k|3k|3.4k|4.1k|4.8k|4.4k|3.6k,9,9280,1,0,,O,false
past,783,로지텍 m331 쿠팡,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,837,O,false
past,784,pmw 센서,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,65,0,0,744,O,false
past,785,무선 마우스 발명한 사람,6,,0,0,0,0,0|0|0|50|100|10|50|59|10|0|10|10,1,2113,0,0,,O,false
past,786,마우스 스크롤,603,,0,0,0,-0.14,730|720|720|670|610|540|620|610|620|600|680|530,1,8257,0,0,,O,false
past,787,vgn 마우스 종류,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8257,0,0,,O,false
past,788,엑토 무선 마우스 연결,33,,0,0,0,-0.66,0|0|19|13|17|14|0|0|30|30|60|10,1,11329,0,0,,O,false
past,789,danawa 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,776,O,false
past,790,라네즈 할인,20,,93,0,0,0.05,10|10|21|10|0|0|23|12|20|10|31|21,4,1025,0,0,837,O,false
past,791,마우스 lod 테이프,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,744,O,false
past,792,센서 비교,0,,,0,0,0,0|0|0|0|0|0|14|11|0|0|0|0,1,8257,0,0,744,O,false
past,793,로지텍 틸트휠마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,,O,false
past,794,잠자리 마우스 a9,150,0.16,81,0,0,0.72,30|14|50|40|80|140|80|100|110|130|130|190,8,9281,1,8,,O,false
past,795,마우스 버튼 기능,110,,0,0,0,-0.37,46|50|80|120|50|120|140|130|160|90|140|100,1,8257,0,8,,O,false
past,796,마우스 빛,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,747|814|828|835,O,false
past,797,가성비 마우스 추천 퀘이사존,26,,58,0,0,-0.57,90|110|90|110|70|70|50|40|70|30|20|30,1,0,0,0,,O,false
past,798,balb c mouse 특징,10,,14,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,2113,0,0,760,O,false
past,799,마우스 틸트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,793|795|786|806|829,O,false
past,800,고가 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,797|824|831|775|825|782|753,O,false
past,801,상하 트레이닝,16,,,0,0,0.09,22|14|0|12|12|23|21|10|11|12|24|12,8,65,0,0,837,O,false
past,802,마우스 판매 순위,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,,O,false
past,803,한교동 장패드,70,,,0,0,-0.33,40|30|80|60|40|60|70|70|90|80|70|60,8,64,0,8,837,O,false
past,804,마우스 센서 종류',16,,0,0,0,0,10|20|10|20|20|30|20|10|20|10|20|20,4,1089,0,0,744,O,false
past,805,컴퓨터 마우스 유래,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,32,0,0,739|785|781,O,false
past,806,마우스 틸트 그립,20,,0,0,0,20,0|0|0|0|0|0|0|0|0|0|40|20,1,64,0,0,,O,false
past,807,마우스 개발,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,,O,false
past,808,실험용 마우스 종류,13,,5,0,0,-0.33,20|30|30|20|30|20|30|10|30|10|10|20,1,65,0,0,,O,false
past,809,마우스 품종,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,760,O,false
past,810,잠자리 마우스 비교,82,0.25,26,0,0,-0.33,90|100|106|150|130|120|110|120|130|90|70|86,8,8256,0,0,,O,false
past,811,마우스 4번 버튼 설정,10,,0,0,0,0,30|20|20|20|10|10|10|10|10|10|10|10,1,65,0,0,,O,false
past,812,로지텍 버티컬 마우스 비교,36,,,0,0,-0.2,30|30|20|30|20|20|39|60|50|40|30|40,4,8256,0,0,,O,false
past,813,레이저 마우스 lod,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,,O,false
past,814,로지텍 마우스 led 설정,26,,0,0,0,-0.33,30|30|40|30|30|20|10|30|30|30|30|20,1,65,0,0,,O,false
past,815,actto 마우스,653,0.03,100,70.4k,189.4k,-0.03,460|430|530|520|510|430|420|540|640|640|700|620,4,2114,0,0,,O,false
past,816,마우스 중요성,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,744,O,false
past,817,마우스 이름,0,,,0,0,0,13|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,O,false
past,818,actto 마우스 dpi,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,,O,false
past,819,잠자리 마우스 종류 디시,36,,35,0,0,-0.25,50|40|50|50|50|50|50|70|40|30|50|30,1,65,0,0,,O,false
past,820,actto 블루투스 마우스 연결,60,1.08,5,0,0,0.24,70|50|40|70|50|40|40|50|50|50|70|62,1,8257,0,0,,O,false
past,821,파일 선반,17,,,0,0,-0.28,20|20|19|20|20|17|16|20|28|12|19|20,8,1089,0,0,837,O,false
past,822,stormx 마우스,463,0.1,91,72.8k,215.7k,-0.27,460|490|680|550|560|430|390|480|480|540|500|350,4,8256,0,0,,O,false
past,823,쥐 의 복수형,0,,,0,0,-1,10|0|10|0|0|0|0|0|10|0|0|0,1,2113,0,0,,O,false
past,824,레이저 마우스 추천,820,0.34,97,142.3k,1.1M,-0.27,1.1k|870|1.5k|1.5k|1.0k|1.1k|1k|1.0k|1.0k|990|740|730,4,8193,1,0,,O,false
past,825,유선 마우스 추천,943,0.14,99,89.6k,382.8k,-0.42,1.4k|1.3k|1.5k|1.6k|1.4k|1.4k|1.2k|1.3k|1.5k|970|990|870,4,8192,1,32,,O,false
past,826,c57bl 6 마우스 특징,36,,1,0,0,0,50|50|50|40|40|30|40|10|40|20|50|40,1,2113,0,0,,O,false
past,827,balb/c 특징,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,760,O,false
past,828,마우스 센서 원리,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,O,false
past,829,틸트휠 마우스 추천,13,0.08,91,0,0,-0.5,30|20|30|10|20|20|30|20|20|10|20|10,8,11329,0,0,,O,false
past,830,공 마우스,33,0.33,15,0,0,0,0|16|55|33|26|31|20|10|35|36|30|35,4,2112,0,0,,O,false
past,831,로지텍 마우스 추천퀘이사존,30,,84,0,0,-0.33,40|50|50|40|30|40|50|50|30|30|40|20,1,0,0,0,,O,false
past,832,비싼 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,9281,0,0,797|834|752|831|775|825|782|779,O,false
past,833,최초 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8288,0,0,,O,false
past,834,로지텍 g304,26230,0.12,81,61.4k,262.4k,-0.06,20.9k|20.5k|25k|25.0k|20.1k|22.7k|20.2k|23k|24.9k|27.8k|27.7k|23.2k,8,1089,1,0,,O,true
past,835,컴퓨터 꺼도 마우스 불빛,23,,0,0,0,0,30|30|40|20|20|30|30|30|20|20|30|20,1,65,0,0,,O,false
past,836,잠자리 마우스 r1 pro,320,0.14,81,0,0,-0.27,210|280|350|400|410|310|260|250|330|400|320|240,8,9280,1,1,,O,false
past,837,쿠팡 마우스,380,0.02,100,130.8k,599.9k,0.08,320|460|630|470|470|350|380|380|350|360|400|380,8,64,0,0,822|776,O,false
past,838,클릭압 낮은 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,,P,false
past,839,g102 클릭압 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,P,false
past,840,휠압 낮은 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,839|847|849|845|841|842|846|844|838|843|848,P,false
past,841,마우스 클릭압 높이기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,P,false
past,842,마우스 클릭압 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,P,false
past,843,클릭압 낮은 마우스 스위치,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,P,false
past,844,클릭압 낮은 마우스,130,,,0,0,-0.33,100|90|110|90|120|100|80|100|120|140|170|80,4,10305,1,8,,P,true
past,845,마우스 클릭압 낮추기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,,P,false
past,846,마우스 클릭압 순위,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,,P,false
past,847,가볍고 클릭압 낮은 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,10305,0,0,,P,false
past,848,클릭압 낮은 무선 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,P,false
past,849,등 낮은 마우스,73,,30,0,0,-0.2,90|70|90|90|70|87|86|109|70|99|66|56,1,2112,0,0,,P,false
common,0,ragnok2,10,,33,0,0,0,10|10|10|10|10|10|10|0|10|10|10|10,4,9280,0,0,34|1|45,A,false
common,1,라그 녹 무선 건 마우스,110,0.36,56,122.0k,803.9k,-0.64,0|0|0|0|0|1.2k|990|660|170|180|90|61,8,8256,0,0,43|50|18|17|36|42|14|38|33|3|45,A,false
common,2,ragnok 2,16,,1,0,0,-0.33,30|20|20|30|30|20|40|20|30|20|10|20,8,9280,0,0,1|45,A,false
common,3,총 마우스,773,0.07,32,17.8k,191.5k,-0.07,1.1k|860|1.1k|920|990|1.7k|1.1k|790|560|970|830|520,9,8256,1,1,22|28|34|50|17|14|38|6|33|45,A,false
common,4,햅틱 피드백 마우스,40,,20,0,0,2,0|0|0|0|0|0|10|10|10|50|40|30,8,65,0,0,53,A,false
common,5,플레이기어 마우스패드 디시,120,0.43,38,0,0,0.22,90|90|110|70|110|90|70|70|90|110|140|110,4,64,0,0,,A,false
common,6,반동 마우스,29,,40,0,0,-0.5,37|22|22|36|33|32|20|40|20|53|24|10,9,8256,0,0,,A,false
common,7,슈팅게임 마우스,3,,,0,0,-1,15|0|0|0|0|0|0|11|10|0|11|0,8,1089,0,0,28|29|50|27|18|17|36|14|38|6|33,A,false
common,8,햅틱 마우스,1006,0.32,47,103.5k,397.0k,1.84,40|70|80|40|150|1.7k|240|160|260|1.2k|1.1k|740,5,8257,1,16,53,A,false
common,9,fps 진동 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,53,A,false
common,10,마우스 진동,37,,23,0,0,1.25,10|36|10|20|35|56|37|20|20|30|37|45,4,8257,0,0,53,A,false
common,11,ragnok v3,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,9280,0,0,34|3,A,false
common,12,ragnok,1683,1.01,1,160.6k,2.5M,0.03,1.7k|1.4k|1.7k|1.6k|1.4k|1.7k|1.7k|1.9k|1.6k|1.4k|2.0k|1.7k,10,9280,1,16,36|45,A,false
common,13,라그나로크 자동사냥 매크로,76,0.37,3,0,0,0.4,40|30|40|40|70|70|70|70|50|50|110|70,9,8257,0,0,,A,false
common,14,라그녹 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,34|45,A,false
common,15,라그녹2,4,,,0,0,0,0|0|18|16|20|18|0|0|0|0|12|0,9,8256,0,0,43|50|18|17|42|1|14|38|33|45,A,false
common,16,ergostrike,19,,22,0,0,1,31|47|35|30|28|27|24|10|10|28|10|20,9,9280,0,0,36,A,false
common,17,건 마우스 후기,49,0.01,30,0,0,0.46,20|20|30|50|73|50|50|55|30|50|53|44,1,10304,0,0,,A,false
common,18,건 마우스 디시,23,0.08,39,0,0,0,30|30|10|20|40|50|30|10|20|30|20|20,4,64,0,0,,A,false
common,19,ergostrike7 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8257,0,0,,A,false
common,20,총 모양 마우스 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,28|50|18|17|32|14|38|15|6|33|26|3,A,false
common,21,건 마우스 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3136,0,0,34|50|18|17|52|14|38|15|1151|33|942|45,A,false
common,22,ergostrike7,98,,19,0,0,-0.7,140|150|140|160|150|160|90|80|120|170|90|36,9,10304,0,0,34,A,false
common,23,라그녹,53,,0,0,0,-0.62,26|47|67|80|70|160|80|80|80|70|60|30,9,9280,0,0,22|34|50|18|17|36|42|47|1|38|33|45,A,false
common,24,진동 마우스패드,10,,69,0,0,0,10|10|10|10|20|10|10|10|10|10|10|10,8,3137,0,0,53,A,false
common,25,ragnok ergostrike7 mouse,0,,,0,0,0,0|0|0|0|0|10|10|0|0|0|0|0,9,9280,0,0,36|45,A,false
common,26,슈팅 마우스,9,,,0,0,-1,0|0|0|15|13|14|0|0|14|13|14|0,9,8257,0,0,28|29|50|27|18|17|36|14|38|6|33,A,false
common,27,건 마우스,883,0.15,41,53.7k,368.7k,-0.21,1.2k|850|770|1.1k|1.3k|1.6k|1.1k|950|700|1.1k|1.1k|550,8,9280,1,33,34|36|1|45,A,false
common,28,fps 마우스,826,0.34,63,130.2k,651.5k,-0.12,770|700|760|810|740|820|650|590|650|760|1.1k|570,8,10305,1,32,,A,false
common,29,fps 마우스 추천,583,0.27,90,137.5k,643.0k,-0.14,760|580|550|690|620|650|650|460|570|720|540|490,5,8513,1,16,,A,false
common,30,진동 키보드,50,0.24,45,0,0,-0.25,56|57|50|40|70|50|52|38|40|55|66|30,1,2112,0,0,53,A,false
common,31,총 게임 마우스,20,,,0,0,-1,0|14|12|0|18|44|20|18|23|23|39|0,9,9536,0,0,28|34|50|18|17|36|14|38|6|33|45,A,false
common,32,권총 모양 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,22|28|43|34|50|18|17|14|38|6|33,A,false
common,33,버티컬 마우스,50400,0.15,95,74.4k,247.8k,-0.08,40.1k|43.5k|44.7k|45.3k|49.1k|37.9k|38k|46.1k|50k|45.4k|60.1k|45.7k,9,9281,0,0,801|863|535|846|715|613|634|667|709|889|498,A,true
common,34,ragnok 마우스,86,0.47,71,120.1k,446.4k,1.1,44|20|20|30|40|41|55|39|20|56|160|42,10,8256,0,0,19|43|50|18|17|36|1|14|38|33|45,A,false
common,35,플레이햅틱,16,,,0,0,16,0|0|20|19|17|0|0|0|0|20|14|16,6,8256,0,0,53,A,false
common,36,권총 마우스,126,,,0,0,-0.37,240|150|160|70|140|230|130|100|80|180|150|50,9,8256,1,1,22|28|34|50|17|1|14|38|33|45,A,false
common,37,ragnok 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,51|32,A,false
common,38,라그녹 마우스 후기,13,,71,0,0,-0.5,0|0|0|0|20|30|30|20|20|20|10|10,1,8256,0,0,,A,false
common,39,라그나로크 매크로 마우스,96,0.24,5,152.9k,323.4k,0.57,40|50|50|50|54|70|50|50|70|50|130|110,1,8256,0,0,,A,false
common,40,ergostrike7 mouse price,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,3,A,false
common,41,센스필,22,,0,0,0,0,35|34|40|20|33|24|24|34|10|23|34|10,9,320,0,0,53,A,false
common,42,라그 녹 3,5,,,0,0,0,0|0|0|0|18|0|11|0|0|16|0|0,4,9281,0,0,34|45,A,false
common,43,ragnok ergostrike7,80,0.19,46,109.3k,296.3k,1.9,10|10|22|90|140|170|100|58|30|104|50|87,9,9280,1,32,34,A,false
common,44,sh60p,0,,,0,0,0,0|0|14|0|0|0|0|0|0|0|0|0,9,9280,0,0,53,A,false
common,45,총 모양 마우스,496,0.21,10,55.8k,249.1k,-0.02,480|380|360|400|420|540|400|420|340|640|520|330,9,8256,0,0,22|28|50|27|17|1|14|38|6|33,A,false
common,46,라그녹 마우스,33,0.16,33,0,0,-0.45,42|34|48|100|80|150|90|36|37|20|60|20,9,9280,0,0,28|43|50|18|17|36|42|14|38|33|45,A,false
common,47,라그 녹 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,32,A,false
common,48,진동 마우스,253,0.28,45,98.1k,510.4k,-0.08,200|220|170|180|200|320|210|190|230|300|250|210,8,8256,1,0,53,A,false
common,49,zero4942 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,,A,false
common,50,ragnok 마우스 후기,40,0.56,64,0,0,-0.25,40|30|20|20|40|70|40|30|40|40|50|30,1,8256,0,0,,A,false
common,51,건그립 마우스,18,,25,0,0,0,20|10|10|46|10|10|10|10|10|23|22|10,9,9281,0,0,22|28|34|50|18|17|36|42|14|38|33|45,A,false
common,52,나무 마우스,167,0.01,0,0,0,0.37,76|80|64|110|160|110|80|85|137|153|160|188,4,2112,0,0,,A,false
common,53,진동 마우스 디시,23,3.24,13,0,0,-0.33,20|10|20|20|10|30|20|30|30|30|20|20,1,0,0,0,28|50|49|18|17|36|14|38|33|30|5|8,A,false
common,54,라그나로크 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,28|43|50|18|36|55|39|13|15|6|33,A,false
common,55,라그나로크 g hub,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,A,false
common,56,삼성 로지텍 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,11328,0,0,634,B,false
common,57,sm m1300qb 리뷰,10,,50,0,0,0,10|10|10|10|10|0|10|10|10|10|10|10,4,1025,0,0,,B,false
common,58,삼성 무선 마우스 분해,26,,0,0,0,-0.33,53|30|30|43|30|40|30|20|30|20|40|20,1,10304,0,0,,B,false
common,59,m1300k,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,801,B,false
common,60,삼성 버티컬 마우스 분해,0,,,0,0,-1,0|0|0|0|0|0|0|0|14|0|0|0,1,8257,0,0,801,B,false
common,61,로지텍 리프트,5390,0.17,85,110.4k,376.3k,-0.18,4.1k|4.1k|5.1k|4.9k|4.7k|4.7k|4.6k|4.8k|6.0k|5.0k|6.4k|4.9k,8,11328,0,16,,B,true
